Joe,9,33,18,10,4
Sam,2,45,21,33,4
Joy,7,48,10,7,2
Joe,3,20,38,1,3
Jill,19,14,16,27,2
Mel,1,38,48,26,1
Sam,9,38,32,41,3
Joy,34,31,17,32,3
Sam,5,7,31,16,1
Sam,12,26,39,30,4
Joe,29,19,27,13,2
Sam,34,39,13,21,3
Joe,46,9,36,39,1
Sam,37,42,29,8,4
Jill,40,50,8,17,2
Sam,22,42,26,16,5
Joy,47,29,12,27,2
Joe,29,46,44,2,1
Joe,41,10,30,12,5
Sam,45,40,10,9,3
Mel,28,27,18,28,1
Joe,23,22,25,8,3
Sam,32,27,15,10,2
Sam,10,11,36,4,5
Joy,30,7,20,11,3
Jill,18,3,22,24,5
Joy,26,50,47,44,3
Jill,8,29,9,21,3
Sam,25,35,28,46,4
Joe,39,47,14,24,5
Jill,27,37,36,38,5
Joe,3,49,35,44,2
Jill,3,17,13,2,3
Sam,30,23,44,45,3
Mel,13,41,1,2,2
Joe,23,15,19,48,4
Mel,10,22,8,40,2
Joe,44,45,28,10,2
Joe,37,40,15,9,1
Mel,42,24,50,28,1
Joy,42,44,3,43,3
Joy,10,42,32,20,4
Jill,46,34,11,26,2
Jill,15,22,15,48,1
Joy,27,19,38,15,3
Joe,8,35,40,11,2
Jill,28,21,8,17,2
Sam,50,3,34,16,5
Joy,24,23,7,27,5
Joy,34,45,25,6,3
Sam,45,6,2,34,3
Joy,17,17,13,17,3
Mel,15,47,36,42,5
Sam,46,30,25,35,1
Joe,15,19,36,25,3
Joe,40,4,25,7,4
Joy,36,13,10,25,5
Joy,46,1,49,15,5
Joe,30,16,43,2,3
Jill,11,7,39,22,4
Jill,25,5,25,48,1
Mel,27,20,42,4,5
Joe,15,37,34,31,4
Mel,41,42,15,17,5
Joe,11,44,39,11,3
Joy,18,3,12,5,3
Joy,23,16,49,21,1
Sam,21,32,4,17,1
Joy,20,12,46,41,5
Jill,2,32,13,43,5
Sam,27,15,48,36,2
Joe,31,5,15,41,3
Mel,44,44,2,49,4
Sam,15,42,8,36,2
Jill,44,41,32,34,3
Sam,14,32,44,24,3
Sam,10,37,44,23,3
Jill,43,26,13,11,1
Jill,15,26,3,33,3
Joy,15,30,24,24,5
Mel,20,40,32,28,1
Mel,10,8,31,10,5
Joe,30,27,24,34,3
Jill,46,47,14,23,2
Jill,3,1,36,7,1
Jill,23,49,41,22,5
Jill,29,23,43,44,2
Joe,25,17,3,33,5
Joe,26,19,18,23,1
Jill,21,39,10,14,2
Sam,37,46,50,9,2
Mel,49,39,4,27,1
Jill,31,39,4,11,1
Sam,4,47,30,22,3
Jill,13,14,4,50,2
Joe,48,38,1,46,1
Sam,42,45,34,4,3
Joy,4,48,34,1,3
Sam,8,24,35,21,5
Joe,26,39,29,39,3
Mel,21,41,48,18,2
Joy,42,10,22,11,4
Sam,24,28,43,24,3
Mel,8,3,20,31,5
Mel,41,26,6,45,3
Joy,38,16,42,31,1
Jill,41,18,35,15,4
Joe,31,48,39,33,5
Joy,4,4,28,27,2
Jill,39,8,14,41,3
Sam,31,22,19,24,4
Sam,23,14,33,30,2
Joy,25,24,39,34,1
Joy,27,41,16,17,4
Sam,44,42,14,19,1
Jill,47,45,25,42,3
Mel,19,9,22,4,1
Mel,15,24,4,45,1
Joe,49,46,48,48,1
Sam,21,50,2,9,3
Jill,32,22,38,50,4
Joe,18,31,20,8,5
Joe,5,19,16,33,5
Sam,34,27,39,2,3
Mel,6,30,47,19,1
Mel,23,45,28,29,4
Joe,44,27,38,29,3
Jill,4,22,34,38,4
Jill,18,12,40,28,4
Jill,28,44,20,2,1
Mel,45,6,49,40,1
Joy,50,13,44,7,5
Mel,44,15,33,44,5
Sam,8,11,14,38,3
Sam,30,16,31,2,3
Mel,24,36,16,33,2
Joe,32,33,33,34,3
Mel,46,30,37,13,3
Jill,23,46,40,10,1
Joy,12,43,7,37,4
Joy,3,41,29,17,4
Mel,30,46,5,38,4
Joe,24,33,28,44,5
Joe,41,21,31,1,2
Jill,26,41,11,22,1
Sam,43,20,42,38,3
Jill,27,19,20,47,3
Joy,40,29,42,38,5
Joy,15,26,32,29,2
Mel,7,6,28,49,5
Sam,6,48,9,48,3
Jill,49,25,11,31,5
Joy,9,50,6,45,1
Joe,39,29,38,2,3
Joy,23,30,43,46,1
Jill,30,6,35,28,5
Joe,26,41,29,11,1
Joy,22,28,2,44,4
Sam,36,28,42,4,2
Jill,3,23,26,24,2
Joy,36,44,18,37,2
Joe,5,42,32,27,4
Sam,10,19,47,19,5
Mel,7,43,35,14,4
Joe,31,41,42,20,5
Joe,34,16,8,50,2
Mel,35,10,46,4,2
Joy,28,17,23,44,1
Jill,22,40,11,6,3
Mel,30,43,42,39,2
Joy,15,2,44,5,4
Mel,4,6,42,28,3
Mel,19,30,45,25,3
Mel,28,6,48,37,4
Joe,50,19,26,6,2
Joy,11,30,24,32,5
Mel,25,11,48,17,4
Sam,21,17,21,49,5
Jill,16,31,48,38,4
Joe,29,11,21,47,3
Sam,13,36,24,29,2
