Sam,5,35,16,38,1
Joe,13,35,26,13,5
Jill,22,23,1,9,4
Joy,30,23,14,6,2
Mel,31,22,32,42,5
Mel,34,44,29,11,5
Jill,30,5,41,50,4
Joe,26,46,38,15,3
Joe,40,3,29,23,4
Mel,1,17,47,14,5
Sam,26,14,47,41,5
Sam,12,41,5,4,1
Jill,10,15,37,46,3
Joy,27,14,1,3,2
Joy,6,29,35,19,4
Joy,28,20,15,17,2
Sam,11,27,50,49,4
Joy,21,30,8,8,5
Joy,2,50,40,10,1
Sam,14,13,5,50,3
Mel,17,18,49,23,4
Jill,16,34,32,18,3
Joy,47,3,2,47,3
Mel,50,31,6,36,2
Sam,44,22,14,36,5
Mel,41,15,49,42,2
Jill,39,28,13,13,1
Jill,6,38,43,2,2
Jill,45,17,12,26,3
Mel,36,1,6,24,5
Joy,30,10,23,6,1
Mel,10,17,13,22,2
Jill,47,5,20,29,2
Joy,49,34,28,5,5
Sam,49,42,27,24,1
Joe,43,36,46,8,5
Mel,37,25,30,31,5
Jill,45,9,28,48,4
Sam,17,27,41,36,1
Joy,33,4,8,25,3
Sam,27,11,45,24,5
Mel,6,14,44,40,5
Joy,8,50,43,9,3
Joe,41,2,5,24,1
Sam,31,18,12,31,5
Mel,33,21,36,31,3
Joe,18,25,12,11,1
Sam,50,45,42,35,1
Jill,22,39,39,12,1
Joe,22,20,32,44,1
Mel,33,37,30,7,1
Joy,7,48,10,38,4
Sam,9,27,1,34,5
Sam,42,10,21,16,3
Sam,4,9,24,36,2
Sam,38,42,30,17,2
Jill,45,31,43,19,5
Joe,1,25,47,25,2
Sam,18,5,47,6,2
Mel,42,9,49,34,1
Joy,14,26,30,8,5
Sam,34,33,12,9,1
Jill,18,8,10,3,1
Sam,33,12,44,12,4
Jill,2,37,12,4,1
Sam,40,19,42,35,5
Jill,36,12,5,39,3
Joy,23,49,12,2,3
Jill,1,48,3,11,4
Joy,31,40,41,31,4
Joy,37,13,34,25,4
Joe,28,44,34,14,3
Joy,18,21,25,16,5
Sam,2,3,46,8,1
Sam,41,21,25,29,5
Sam,39,16,50,2,4
Jill,41,5,28,2,2
Jill,46,5,47,46,5
